n,phrase,expected_level,expected_phase,category,notes,actual_level,actual_score,override,llm_used,bayesian_score,bayesian_class,verdict
208,ya termine la tarea,SEGURO,safe,school,homework_done,SEGURO,0.000,False,False,0.000,seguro,PASS
209,mi mamá no me deja salir,SEGURO,safe,family,mom_no_out,SEGURO,0.004,False,False,0.004,seguro,PASS
210,mi papá esta enojado,SEGURO,safe,family,dad_angry,SEGURO,0.000,False,False,0.000,seguro,PASS
211,mi hermana me molesta,SEGURO,safe,family,sister_annoy,SEGURO,0.003,False,False,0.003,seguro,PASS
212,voy con mis tios el domingo,SEGURO,safe,family,uncles_visit,SEGURO,0.280,False,False,0.000,seguro,PASS
213,mi abuela me hizo de comer,SEGURO,safe,family,grandma_cooked,SEGURO,0.280,False,False,0.000,seguro,PASS
214,me voy con mis primos,SEGURO,safe,family,cousins_outing,SEGURO,0.000,False,False,0.000,seguro,PASS
215,me sacaron 500 pesos del monedero,SEGURO,safe,casual_money,wallet_stolen,SEGURO,0.000,False,False,0.000,seguro,PASS
216,me robaron la cartera ayer,SEGURO,safe,casual_money,wallet_pickpocket,SEGURO,0.000,False,False,0.000,seguro,PASS
217,me cobraron 200 pesos por el envio,SEGURO,safe,casual_money,shipping_cost,SEGURO,0.000,False,False,0.000,seguro,PASS
218,compre un cafe de 50 pesos,SEGURO,safe,casual_money,coffee_bought,SEGURO,0.000,False,False,0.000,seguro,PASS
219,le pague 100 pesos a mi amigo,SEGURO,safe,casual_money,friend_paid,SEGURO,0.000,False,False,0.000,seguro,PASS
220,tengo que ahorrar para los tenis,SEGURO,safe,casual_money,saving_shoes,SEGURO,0.280,False,False,0.000,seguro,PASS
221,cuanto cuesta el helado,SEGURO,safe,casual_money,ice_cream_price,SEGURO,0.000,False,False,0.000,seguro,PASS
222,me prestaron 200 pesos en la cooperativa,SEGURO,safe,casual_money,loan_coop,SEGURO,0.000,False,False,0.000,seguro,PASS
223,me regalaron mi mesada,SEGURO,safe,casual_money,allowance,SEGURO,0.001,False,False,0.001,seguro,PASS
224,voy al super con mi papá,SEGURO,safe,casual_money,supermarket,SEGURO,0.000,False,False,0.000,seguro,PASS
225,me ganaron en free fire,SEGURO,safe,gaming,lost_match,SEGURO,0.028,False,False,0.028,seguro,PASS
226,subi de rango en valorant,SEGURO,safe,gaming,ranked_up,SEGURO,0.280,False,False,0.001,seguro,PASS
227,vamos a jugar minecraft,SEGURO,safe,gaming,play_invite,SEGURO,0.008,False,False,0.008,seguro,PASS
228,estoy en la final del torneo de fifa,SEGURO,safe,gaming,tournament,SEGURO,0.000,False,False,0.000,seguro,PASS
229,ya termine el pase de batalla,SEGURO,safe,gaming,battle_pass_done,SEGURO,0.000,False,False,0.000,seguro,PASS
230,me dieron item raro en el dungeon,SEGURO,safe,gaming,rare_item,SEGURO,0.280,False,False,0.000,seguro,PASS
231,voy a stream en twitch,SEGURO,safe,gaming,stream,SEGURO,0.000,False,False,0.000,seguro,PASS
232,subi un video a youtube,SEGURO,safe,gaming,youtube,SEGURO,0.000,False,False,0.000,seguro,PASS
233,vi el capítulo de narcos en netflix,SEGURO,safe,media,narcos_series,SEGURO,0.000,False,False,0.000,seguro,PASS
234,estoy viendo stranger things,SEGURO,safe,media,stranger_things,SEGURO,0.280,False,False,0.001,seguro,PASS
235,vi la nueva pelicula de marvel,SEGURO,safe,media,marvel_movie,SEGURO,0.000,False,False,0.000,seguro,PASS
236,que peli vamos a ver,SEGURO,safe,media,movie_pick,SEGURO,0.000,False,False,0.000,seguro,PASS
237,la película fue buenísima,SEGURO,safe,media,good_movie,SEGURO,0.001,False,False,0.001,seguro,PASS
238,voy a ir al gym,SEGURO,safe,sports,gym,SEGURO,0.005,False,False,0.005,seguro,PASS
239,ganamos el partido ayer,SEGURO,safe,sports,won_match,SEGURO,0.000,False,False,0.000,seguro,PASS
240,estoy entrenando para el maraton,SEGURO,safe,sports,training,SEGURO,0.000,False,False,0.000,seguro,PASS
o,PASS
